1,2.44
2,2.09
3,1.96
4,1.87
5,1.85
6,1.76
7,1.72
8,1.69
9,1.65
10,1.63
11,1.60
12,1.57
13,1.55
14,1.53
15,1.52
16,1.50
17,1.48
18,1.46
19,1.45
20,1.44
21,1.43
22,1.41
23,1.40
24,1.38
25,1.38
26,1.36
27,1.35
28,1.34
29,1.33
30,1.32
31,1.31
32,1.30
33,1.30
34,1.28
35,1.27
36,1.27
37,1.26
38,1.26
39,1.25
40,1.24
41,1.23
42,1.22
43,1.22
44,1.21
45,1.21
46,1.20
47,1.20
48,1.19
49,1.19
50,1.18
51,1.17
52,1.16
53,1.16
54,1.15
55,1.15
56,1.14
57,1.14
58,1.14
59,1.13
60,1.12
61,1.12
62,1.11
63,1.11
64,1.10
65,1.10
66,1.09
67,1.09
68,1.08
69,1.08
70,1.07
71,1.07
72,1.07
73,1.06
74,1.06
75,1.06
76,1.05
77,1.05
78,1.04
79,1.04
80,1.03
81,1.03
82,1.03
83,1.02
84,1.02
